label,review
1,日晚21:30《超级笑星》全国总决赛~只有1天啦！[鼓掌]明晚~亲们就可以享受到最豪华的欢乐大餐，最爆笑的喜剧盛宴！锁定@安徽卫视 一起笑到嗨不停哦！[偷笑]现在转发指定微博~还能赢取Ipad mini呢~详情点击http://t.cn/8Feks1c
0,[抓狂][抓狂]睡不着啊睡不着！！急死了，明天一上午会呢！！！睡啊睡啊睡啊！！！[月亮][月亮]
1,谁去谁知道[哈哈][吃惊][嘘]
0,谁认识华润置地的级别高点的人啊[抓狂][抓狂][抓狂][抓狂]
0,明明是后现实主义和虚幻现实主意//@Magic点钱: 只是漂亮的很独特，融合了复古和哥特//@喵和Candy的世界: [晕][晕]
0,朕   乃忧国忧官  民习以为常[晕] //@韩军的舞台:粪添成运[哈哈] //@香慢: @韩军的舞台 [偷笑]  //@瞬间倾城的围脖:确实。。。
1,看薰衣草的最佳时节要到来啦，我们的法租界周日早午餐，每月第二个周日准时上演，期待我们Chef的本月推荐菜单吧[爱你]
0,我倒，真的又来一个[伤心] //@薄荷品牌设计_whodesign:绝了... 对得起这书名中的名词//@杨_林青: @韩湛宁 @?重老? 绝了！[阴险]
1,擦！这确实该发微薄！！[哈哈]
1,终于火锅...摄影:@张晴滟 [哈哈]
0,告别[泪]
1,我们一起去的。[哈哈]
0,今天在果壳的知识青年烩真的被吓呆了！没想到大家这么热情。今天签的名，比过去一年在公文上签的名还多，照的相也是比三年照的份量还多。甚至看到江西来的同学，太感动了[泪]感谢当初姬兄的邀请，才有机会跟这么多同学见面！另外这两天跟果壳的工作伙伴接触，觉得这群伙伴真是超酷的，个个都特有意思！
1,哈哈哈，我的我的[嘻嘻][兔子][鼓掌][亲亲]
0,我总是记不住呢！[泪]
0,希望男嘉宾能早日提高中文水准，不要随便诅咒财神老师[哈哈] //@宁财神: 临终……[泪]//@迪凡__Stefan: 非常感谢三位老师在台上台下对我的指点，受益匪浅。 宁财神老师临终还嘱托我，谈恋爱要像打怪一样，不停地冲关升级[xkl转圈] 我希望早日有一天能提高到我牵手女嘉宾的水准，最后走向真正的幸福
0,我次奥。。。这货不是人类。。。[怒]
0,[呵呵]天秤又第一，自己偷着笑呢？[晕]@崔程
0,边听中国好声音边干活，[西瓜]。。。呃，我就想问下。。。难道，就我一个人听到华少的连环炮会头皮发麻么？[晕][晕][晕]。。。
1,【非?告】＃?手拍＃ [哈哈] STARS & BUCKS CAFE （星＆巴克？）日前?以色列耶路撒冷，前往巴勒斯坦西岸城市伯利?「??教堂」朝?途中??的咖啡?。
0,今天好不容易有点时间可以去健身，，，可是，，可是，，还是没能进得了健身房。。两周没怎么动了，浑身难受。。 难受。难受～～～[怒][可怜]
0,曝 //@北京全攻略:又一个不能吃的，这样下去每天曝一个，全减肥了～照这趋势要是一天曝一个，估计我们也快把整个元素周期表吃全了。[衰]
1,"[哈哈]龙哥这身行头,时尚达人"
0,开始翻海拔六千多米的唐古拉山，远处是被雪覆盖的高峰，我们都开始出现高原反应了[泪][泪]忍忍忍！
0,朋友问：你每天带着LOGO眼镜是接了广告了还是怎么了…………[衰][悲伤]#方正黑超是大脸人的福音#
